Program Version:,EnergyPlus, Version 22.2.0-c249759bad, YMD=2023.05.28 19:20
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ3A+elecres+slab+IECC_2015
Environment:,ANNUAL ** Dallas Fort Worth Intl Ap TX USA TMY3 WMO#=722590

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       672.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,8.35,25.21,37.82
,Net Site Energy,8.35,25.21,37.82
,Total Source Energy,26.45,79.84,119.77
,Net Source Energy,26.45,79.84,119.77


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,331.23
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,110.41


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,8.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
Zone Sensible Cooling

,,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
,LIVING_UNIT1,4617.81,4617.81,20.91,0.323,0.323,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,23.89,23.89,0.00840,36.09,0.01281,0.028,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


Zone Sensible Heating

,,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
,LIVING_UNIT1,5044.18,10592.79,47.97,0.151,0.317,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,22.22,22.22,0.00666,-6.50,0.00222,0.028,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


System Design Air Flow Rates

,,Calculated cooling [m3/s],User cooling [m3/s],Calculated heating [m3/s],User heating [m3/s],Adjusted cooling [m3/s],Adjusted heating [m3/s],Adjusted main [m3/s],Calculated Heating Air Flow Ratio [],User Heating Air Flow Ratio []
,CENTRAL SYSTEM_UNIT1,0.32,0.32,0.32,0.32,0.3228,0.3228,0.3228,1.0000,1.0000


Plant Loop Coincident Design Fluid Flow Rate Adjustments

,,Previous Design Volume Flow Rate [m3/s],Algorithm Volume Flow Rate [m3/s],Coincident Design Volume Flow Rate [m3/s],Coincident Size Adjusted,Peak Sizing Period Name,Peak Day into Period {TIMESTAMP}[day],Peak Hour Of Day {TIMESTAMP}[hr],Peak Step Start Minute {TIMESTAMP}[min]
,None,,,,,,,,


Coil Sizing Summary

,,Coil Type,HVAC Type,HVAC Name,Coil Final Gross Total Capacity [W],Coil Final Gross Sensible Capacity [W],Coil Final Reference Air Volume Flow Rate [m3/s],Coil Final Reference Plant Fluid Volume Flow Rate [m3/s],Coil U-value Times Area Value [W/K],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Coil Total Capacity at Ideal Loads Peak [W],Coil Sensible Capacity at Ideal Loads Peak [W],Coil Air Volume Flow Rate at Ideal Loads Peak [m3/s],Coil Entering Air Drybulb at Ideal Loads Peak [C],Coil Entering Air Wetbulb at Ideal Loads Peak [C],Coil Entering Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Coil Leaving Air Drybulb at Ideal Loads Peak [C],Coil Leaving Air Wetbulb at Ideal Loads Peak [C],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Outdoor Air Drybulb at Ideal Loads Peak [C],Outdoor Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [C],Outdoor Air Flow Percentage at Ideal Loads Peak [%],Zone Air Drybulb at Ideal Loads Peak [C],Zone Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [W],Zone Latent Heat Gain at Ideal Loads Peak [W],Coil Total Capacity at Rating Conditions [W],Coil Sensible Capacity at Rating Conditions [W]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,6537.252,5043.580,0.322796,-999.0,-999.000,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:10:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,6057.81,5362.84,0.322796,25.62,16.99,0.00878955,12.00,11.08,0.00800000,36.09,0.01281390,23.13,8.7724,23.89,0.00838500,44.5411,4613.41,0.00,6539.98,4991.08
,MAIN ELECTRIC HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,11404.111,11404.111,-999.0,-999.0,-999.000,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,11404.11,11404.11,0.322796,19.70,12.51,0.00626665,50.00,23.73,0.00800000,-6.50,0.00222024,-6.50,8.7724,22.22,0.00665575,39.2234,5044.18,0.00,-999.00,-999.00


----------------------------------------------------------------------------------------------------
REPORT:,Coil Sizing Details
FOR:,Entire Facility
Coils

,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [W],Coil Final Gross Sensible Capacity [W],Coil Final Reference Air Volume Flow Rate [m3/s],Coil Final Reference Plant Fluid Volume Flow Rate [m3/s],Coil U-value Times Area Value [W/K],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [J/kg-K],Dry Air Heat Capacity [J/kg-K],Standard Air Density Adjusted for Elevation [kg/m3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [m3/s],Supply Fan Maximum Air Mass Flow Rate [kg/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [J/kg-K],Plant Fluid Density [kg/m3],Plant Maximum Fluid Mass Flow Rate [kg/s],Plant Design Fluid Return Temperature [C],Plant Design Fluid Supply Temperature [C],Plant Design Fluid Temperature Difference [deltaC],Plant Design Capacity [W],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [W],Coil Sensible Capacity at Ideal Loads Peak [W],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [ ],Coil Air Mass Flow Rate at Ideal Loads Peak [kg/s],Coil Air Volume Flow Rate at Ideal Loads Peak [m3/s],Coil Entering Air Drybulb at Ideal Loads Peak [C],Coil Entering Air Wetbulb at Ideal Loads Peak [C],Coil Entering Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [J/KG-K],Coil Leaving Air Drybulb at Ideal Loads Peak [C],Coil Leaving Air Wetbulb at Ideal Loads Peak [C],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [J/KG-K],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [kg/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [C],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [C],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaC],Supply Fan Air Heat Gain at Ideal Loads Peak [W],Coil and Fan Net Total Capacity at Ideal Loads Peak [W],Outdoor Air Drybulb at Ideal Loads Peak [C],Outdoor Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [C],Outdoor Air Volume Flow Rate at Ideal Loads Peak [m3/s],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [C],System Return Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Zone Air Drybulb at Ideal Loads Peak [C],Zone Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [W],Zone Latent Heat Gain at Ideal Loads Peak [W],Coil Total Capacity at Rating Conditions [W],Coil Sensible Capacity at Rating Conditions [W],Coil Air Mass Flow Rate at Rating Conditions [kg/s],Coil Entering Air Drybulb at Rating Conditions [C],Coil Entering Air Wetbulb at Rating Conditions [C],Coil Entering Air Humidity Ratio at Rating Conditions [kgWater/kgDryAir],Coil Entering Air Enthalpy at Rating Conditions [J/KG-K],Coil Leaving Air Drybulb at Rating Conditions [C],Coil Leaving Air Wetbulb at Rating Conditions [C],Coil Leaving Air Humidity Ratio at Rating Conditions [kgWater/kgDryAir],Coil Leaving Air Enthalpy at Rating Conditions [J/KG-K]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,6537.252,5043.580,0.322796,-999.0,-999.000,-999.0000,1.00000,1.00000,1021.1793,1004.8586,1.1801,SUPPLY FAN_UNIT1,Fan:OnOff,0.322796,0.38092861,,-999.0000,-999.0000,-999.0,-999.00,-999.00,-999.00,-999.00,-999.0000,-999.0,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:10:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:30:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,Sensible,6057.81,5362.84,0.9267,0.38092861,0.322796,25.62,16.99,0.00878955,48146.8,12.00,11.08,0.00800000,32244.1,-999.0,-999.00,-999.00,-999.00,257.958,5799.85,36.09,0.01281390,23.13,0.02831685,8.7724,23.89,0.00840258,23.89,0.00838500,44.5411,4613.41,0.00,6539.98,4991.08,0.36588481,26.67,19.44,0.01118466,55322.4,13.33,13.32,0.00952488,37448.0
,MAIN ELECTRIC HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,HeatingDesignCapacity,N/A,No,No,unknown,No,11404.111,11404.111,-999.0,-999.0,-999.000,-999.0000,1.00000,1.00000,1019.7116,1004.8586,1.1801,SUPPLY FAN_UNIT1,Fan:OnOff,0.322796,0.38092861,,-999.0000,-999.0000,-999.0,-999.00,-999.00,-999.00,-999.00,-999.0000,-999.0,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,unknown,unknown,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,Sensible,11404.11,11404.11,1.0000,0.38092861,0.322796,19.70,12.51,0.00626665,35695.8,50.00,23.73,0.00800000,70993.1,-999.0,-999.00,-999.00,-999.00,0.000,11404.11,-6.50,0.00222024,-6.50,0.02831685,8.7724,22.22,0.00665575,22.22,0.00665575,39.2234,5044.18,0.00,-999.00,-999.00,-999.0,-999.00,-999.00,-999.0,-999.0,-999.00,-999.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [m3/s],Maximum Outdoor Air [m3/s],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [C],Outdoor Air Enthalpy Limit [C]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [m3/s-person],Outdoor Air Per Area [m3/s-m2],Outdoor Air Per Zone [m3/s],Outdoor Air ACH [ach],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name
,None,,,,,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,LIVING_UNIT1,130.33,598.00,108.00
,ATTIC_UNIT1,0.00,0.00,0.00
,Facility,130.33,598.00,108.00
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,LIVING_UNIT1,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Facility,0.00,0.00,0.00,0.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,LIVING_UNIT1,2.07,3.00,482.75,0.214,0.000,0.284,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,LIVING_UNIT1,2.07,3.00,482.75,0.208,0.000,0.001,0.000
Values shown for a single zone without multipliers


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Details
FOR:,Entire Facility
Mechanical Ventilation Parameters by Zone

,,AirLoop Name,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Zone Area [m2],Design Zone Outdoor Airflow - Voz [m3/s],Minimum Dynamic Target Ventilation - Voz-dyn-min [m3/s]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,2.07,3.00,482.75,220.82,0.0000,0.000
,Total Facility,,2.07,3.00,482.75,220.82,0.0000,0.000


Total Outdoor Air by Zone

,,Mechanical Ventilation [m3],Natural Ventilation [m3],Total Ventilation [m3],Infiltration [m3],Total Ventilation and Infiltration [m3],Dynamic Target Ventilation - Voz-dyn [m3],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr],Time Above Zero When Unoccupied [hr]
,LIVING_UNIT1,73397.27,0.00,73397.27,97591.53,170988.79,73397.27,0.00,720.00,0.00,0.00
,Total Facility,73397.27,0.00,73397.27,97591.53,170988.79,73397.27,0.00,720.00,0.00,0.00


Average Outdoor Air During Occupancy by Zone - Flow Rates

,,Mechanical Ventilation [m3/s],Natural Ventilation [m3/s],Total Ventilation [m3/s],Infiltration [m3/s],Total Ventilation and Infiltration [m3/s],Dynamic Target Ventilation - Voz-dyn [m3/s],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr]
,LIVING_UNIT1,0.0283,0.0000,0.0283,0.0377,0.0660,0.0283,0.00,720.00,0.00
,Total Facility,0.0283,0.0000,0.0283,0.0377,0.0660,0.0283,0.00,720.00,0.00


Total Outdoor Air by AirLoop

,,Mechanical Ventilation [m3],Natural Ventilation [m3/s],Total Ventilation [m3/s],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [m3],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr],Time Above Zero When Unoccupied [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,73397.27,720.00,0.00,0.00,0.00


Average Outdoor Air During Occupancy by AirLoop

,,Mechanical Ventilation [m3/s],Natural Ventilation [m3/s],Total Ventilation [m3/s],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [m3/s],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0283,720.00,0.00,0.00


Outdoor Air Controller Limiting Factors by AirLoop

,,No Limiting Factor [hr],Limits and Scheduled Limits [hr],Economizer [hr],Exhaust Flow [hr],Mixed Air Flow [hr],High Humidity [hr],Demand Controlled Ventilation [hr],Night Ventilation [hr],Demand Limiting [hr],Energy Management System [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Average Outdoor Air for Limiting Factors During Occupancy

,,No Limiting Factor [m3/s],Limits and Scheduled Limits [m3/s],Economizer [m3/s],Exhaust Flow [m3/s],Mixed Air Flow [m3/s],High Humidity [m3/s],Demand Controlled Ventilation [m3/s],Night Ventilation [m3/s],Demand Limiting [m3/s],Energy Management System [m3/s]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Object Count Summary
FOR:,Entire Facility
Surfaces by Class

,,Total,Outdoors
,Wall,10,10
,Floor,3,0
,Roof,3,2
,Internal Mass,1,0
,Building Detached Shading,0,0
,Fixed Detached Shading,0,0
,Window,8,8
,Door,1,1
,Glass Door,0,0
,Shading,4,4
,Overhang,2,2
,Fin,0,0
,Tubular Daylighting Device Dome,0,0
,Tubular Daylighting Device Diffuser,0,0


HVAC

,,Count
,HVAC Air Loops,1
,Conditioned Zones,1
,Unconditioned Zones,1
,Supply Plenums,0
,Return Plenums,0


Input Fields

,,Count
,IDF Objects,442
,Defaulted Fields,332
,Fields with Defaults,1721
,Autosized Fields,18
,Autosizable Fields,33
,Autocalculated Fields,18
,Autocalculatable Fields,38


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [GJ],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,8.35,698.96,21-FEB-03:10,14329.47,10-FEB-22:40
,Electricity:Building,2.47,601.99,01-FEB-03:10,1679.39,06-FEB-18:10
,Electricity:Zone:LIVING_UNIT1,2.47,601.99,01-FEB-03:10,1679.39,06-FEB-18:10
,Electricity:SpaceType:GENERAL,2.47,601.99,01-FEB-03:10,1679.39,06-FEB-18:10
,InteriorLights:Electricity,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,InteriorLights:Electricity:Zone:LIVING_UNIT1,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,InteriorLights:Electricity:SpaceType:GENERAL,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity:Zone:LIVING_UNIT1,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity:SpaceType:GENERAL,0.33,26.56,01-FEB-00:10,386.39,01-FEB-19:10
,InteriorEquipment:Electricity,2.14,566.69,01-FEB-04:10,1330.73,06-FEB-18:10
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1,2.14,566.69,01-FEB-04:10,1330.73,06-FEB-18:10
,InteriorEquipment:Electricity:SpaceType:GENERAL,2.14,566.69,01-FEB-04:10,1330.73,06-FEB-18:10
,dishwasher:InteriorEquipment:Electricity,0.05,1.69,01-FEB-03:10,58.93,06-FEB-19:10
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.05,1.69,01-FEB-03:10,58.93,06-FEB-19:10
,dishwasher:InteriorEquipment:Electricity:SpaceType:GENERAL,0.05,1.69,01-FEB-03:10,58.93,06-FEB-19:10
,refrigerator:InteriorEquipment:Electricity,0.18,66.60,01-FEB-04:10,91.06,01-FEB-18:10
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.18,66.60,01-FEB-04:10,91.06,01-FEB-18:10
,refrigerator:InteriorEquipment:Electricity:SpaceType:GENERAL,0.18,66.60,01-FEB-04:10,91.06,01-FEB-18:10
,clotheswasher:InteriorEquipment:Electricity,0.03,0.91,01-FEB-02:10,25.55,06-FEB-09:10
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.03,0.91,01-FEB-02:10,25.55,06-FEB-09:10
,clotheswasher:InteriorEquipment:Electricity:SpaceType:GENERAL,0.03,0.91,01-FEB-02:10,25.55,06-FEB-09:10
,electric_dryer:InteriorEquipment:Electricity,0.23,4.25,01-FEB-03:10,213.06,06-FEB-11:10
,electric_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.23,4.25,01-FEB-03:10,213.06,06-FEB-11:10
,electric_dryer:InteriorEquipment:Electricity:SpaceType:GENERAL,0.23,4.25,01-FEB-03:10,213.06,06-FEB-11:10
,electric_range:InteriorEquipment:Electricity,0.17,5.84,01-FEB-02:10,248.15,01-FEB-17:10
,electric_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.17,5.84,01-FEB-02:10,248.15,01-FEB-17:10
,electric_range:InteriorEquipment:Electricity:SpaceType:GENERAL,0.17,5.84,01-FEB-02:10,248.15,01-FEB-17:10
,television:InteriorEquipment:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,television:InteriorEquipment:Electricity:SpaceType:GENERAL,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,electric_mels:InteriorEquipment:Electricity,0.93,293.39,01-FEB-09:10,567.46,01-FEB-20:10
,electric_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.93,293.39,01-FEB-09:10,567.46,01-FEB-20:10
,electric_mels:InteriorEquipment:Electricity:SpaceType:GENERAL,0.93,293.39,01-FEB-09:10,567.46,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity,0.56,176.23,01-FEB-09:10,340.85,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.56,176.23,01-FEB-09:10,340.85,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity:SpaceType:GENERAL,0.56,176.23,01-FEB-09:10,340.85,01-FEB-20:10
,Fans:Electricity,0.22,42.86,03-FEB-14:30,300.82,11-FEB-01:40
,Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Ventilation (simple):Fans:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Electricity:HVAC,4.91,42.86,03-FEB-14:30,11704.93,11-FEB-01:40
,General:Fans:Electricity,0.12,0.00,03-FEB-14:30,257.96,11-FEB-01:40
,Ventilation:Fans:Electricity,0.10,42.86,08-FEB-13:40,42.86,08-FEB-13:30
,ElectricityPurchased:Facility,8.35,698.96,21-FEB-03:10,14329.47,10-FEB-22:40
,ElectricityPurchased:Plant,8.35,698.96,21-FEB-03:10,14329.47,10-FEB-22:40
,Cogeneration:ElectricityPurchased,8.35,698.96,21-FEB-03:10,14329.47,10-FEB-22:40
,General:Cogeneration:ElectricityPurchased,8.35,698.96,21-FEB-03:10,14329.47,10-FEB-22:40
,ElectricitySurplusSold:Facility,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,ElectricitySurplusSold:Plant,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Cogeneration:ElectricitySurplusSold,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
