Program Version:,EnergyPlus, Version 22.2.0-c249759bad, YMD=2022.11.29 22:21
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ3A+elecres+slab+IECC_2015
Environment:,ANNUAL ** Dallas TX USA EPW WMO#=722590

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       672.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,6730.83,1.89,2.83
,Net Site Energy,6730.83,1.89,2.83
,Total Source Energy,21316.54,5.98,8.97
,Net Source Energy,21316.54,5.98,8.97


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,3565.64
,Net Conditioned Building Area,2377.10
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,3859.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,29.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,244.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,52.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1598.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,250.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,696.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1693.90
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,6730.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1693.90
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,OAEXHAUSTFAN_UNIT1,Fan:OnOff,0.60,0.07,59.99,21.43,0.36,0.00,10.06,Ventilation,,
,SUPPLY FAN_UNIT1,Fan:OnOff,0.50,0.06,683.60,257.85,0.38,1.00,1.88,General,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00


Pumps

,,Type,Control,Head [psi],Water Flow [gal/min],Electricity Rate [W],Power Per Water Flow Rate [W-min/gal],Motor Efficiency [Btuh/Btuh],End Use Subcategory
,MAINS PRESSURE_UNIT1,Pump:VariableSpeed,Intermittent,0.00,7.827838,0.00,0.00,1.00,General


Service Water Heating

,,Type,Storage Volume [ft3],Input [Btu/h],Thermal Efficiency [Btuh/Btuh],Recovery Efficiency [Btuh/Btuh],Energy Factor
,WATER HEATER_UNIT1,WaterHeater:Mixed,6.95,18766.00,1.00,1.06,0.96


----------------------------------------------------------------------------------------------------
REPORT:,HVAC Sizing Summary
FOR:,Entire Facility
Zone Sensible Cooling

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1,15749.32,15749.32,6.63,683.600,683.600,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,75.00,75.00,0.00840,96.97,0.01281,59.993,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


Zone Sensible Heating

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1,17212.92,17212.92,7.24,319.700,319.700,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,72.00,71.99,0.00666,20.30,0.00222,59.993,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


System Design Air Flow Rates

,,Calculated cooling [ft3/min],User cooling [ft3/min],Calculated heating [ft3/min],User heating [ft3/min],Adjusted cooling [ft3/min],Adjusted heating [ft3/min],Adjusted main [ft3/min],Calculated Heating Air Flow Ratio [],User Heating Air Flow Ratio []
,CENTRAL SYSTEM_UNIT1,683.60,683.60,319.70,319.70,683.5998,683.5998,683.5998,1.0000,1.0000


Plant Loop Coincident Design Fluid Flow Rate Adjustments

,,Previous Design Volume Flow Rate [ft3/min],Algorithm Volume Flow Rate [ft3/min],Coincident Design Volume Flow Rate [ft3/min],Coincident Size Adjusted,Peak Sizing Period Name,Peak Day into Period {TIMESTAMP}[day],Peak Hour Of Day {TIMESTAMP}[hr],Peak Step Start Minute {TIMESTAMP}[min]
,None,,,,,,,,


Coil Sizing Summary

,,Coil Type,HVAC Type,HVAC Name,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Flow Percentage at Ideal Loads Peak [%],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,22297.214,17202.145,683.599843,-999.,-999.00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:10:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,20662.12,18290.95,683.599843,78.12,62.58,0.00878986,53.60,51.95,0.00800000,96.97,0.01281390,73.64,8.7761,75.00,0.00838515,44.5419,15734.30,0.00,22306.52,17023.05
,MAIN ELECTRIC HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,20252.414,20252.414,-999.,-999.,-999.00,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,20252.41,20252.41,683.599843,67.46,54.53,0.00626660,122.00,74.72,0.00800000,20.30,0.00222024,20.30,8.7761,71.99,0.00665587,39.2241,17212.92,0.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,Coil Sizing Details
FOR:,Entire Facility
Coils

,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [Btu/lbm-R],Dry Air Heat Capacity [Btu/lbm-R],Standard Air Density Adjusted for Elevation [lb/ft3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [ft3/min],Supply Fan Maximum Air Mass Flow Rate [lb/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [Btu/lbm-R],Plant Fluid Density [lb/ft3],Plant Maximum Fluid Mass Flow Rate [lb/s],Plant Design Fluid Return Temperature [F],Plant Design Fluid Supply Temperature [F],Plant Design Fluid Temperature Difference [deltaF],Plant Design Capacity [Btu/h],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [],Coil Air Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [F],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [F],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaF],Supply Fan Air Heat Gain at Ideal Loads Peak [Btu/h],Coil and Fan Net Total Capacity at Ideal Loads Peak [Btu/h],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [F],System Return Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h],Coil Air Mass Flow Rate at Rating Conditions [lb/s],Coil Entering Air Drybulb at Rating Conditions [F],Coil Entering Air Wetbulb at Rating Conditions [F],Coil Entering Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Entering Air Enthalpy at Rating Conditions [Btu/lbm-R],Coil Leaving Air Drybulb at Rating Conditions [F],Coil Leaving Air Wetbulb at Rating Conditions [F],Coil Leaving Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Rating Conditions [Btu/lbm-R]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,22297.214,17202.145,683.599843,-999.,-999.00,-999.0000,1.00000,1.00000,0.2439,0.2400,0.0737,SUPPLY FAN_UNIT1,Fan:OnOff,683.599843,0.83944020,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:10:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:30:00,DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB,8/21 17:20:00,Sensible,20662.12,18290.95,0.9267,0.83944020,683.599843,78.12,62.58,0.00878986,11.5,53.60,51.95,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,879.780,19782.34,96.97,0.01281390,73.64,59.99331119,8.7761,75.00,0.00840273,75.00,0.00838515,44.5419,15734.30,0.00,22306.52,17023.05,0.80628866,80.00,67.00,0.01118466,13.2,55.99,55.97,0.00952461,8.9
,MAIN ELECTRIC HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,20252.414,20252.414,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0737,SUPPLY FAN_UNIT1,Fan:OnOff,683.599843,0.83944020,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,unknown,unknown,DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,Sensible,20252.41,20252.41,1.0000,0.83944020,683.599843,67.46,54.53,0.00626660,8.5,122.00,74.72,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,20252.41,20.30,0.00222024,20.30,59.99331119,8.7761,71.99,0.00665587,71.99,0.00665587,39.2241,17212.92,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [ft3/min],Maximum Outdoor Air [ft3/min],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [F],Outdoor Air Enthalpy Limit [F]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [ft3/min-person],Outdoor Air Per Area [ft3/min-ft2],Outdoor Air Per Zone [ft3/min],Outdoor Air ACH [ACH],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name
,None,,,,,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,LIVING_UNIT1,248.33,649.17,248.33
,ATTIC_UNIT1,0.00,0.00,0.00
,Facility,248.33,649.17,248.33
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,LIVING_UNIT1,204.17,0.00,204.17,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Facility,204.17,0.00,204.17,0.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1,2.07,3.00,17050.56,0.170,0.000,0.301,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1,2.07,3.00,17050.56,0.000,0.000,0.002,0.000
Values shown for a single zone without multipliers


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Details
FOR:,Entire Facility
Mechanical Ventilation Parameters by Zone

,,AirLoop Name,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Zone Area [ft2],Design Zone Outdoor Airflow - Voz [ft3/min],Minimum Dynamic Target Ventilation - Voz-dyn-min [ft3/min]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,2.07,3.00,17050.56,2377.10,0.0000,0.000
,Total Facility,,2.07,3.00,17050.56,2377.10,0.0000,0.000


Total Outdoor Air by Zone

,,Mechanical Ventilation [ft3],Natural Ventilation [ft3],Total Ventilation [ft3],Infiltration [ft3],Total Ventilation and Infiltration [ft3],Dynamic Target Ventilation - Voz-dyn [ft3],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr],Time Above Zero When Unoccupied [hr]
,LIVING_UNIT1,2073903.58,0.00,2073903.58,3723980.52,5797884.11,2592379.48,144.00,576.00,0.00,0.00
,Total Facility,2073903.58,0.00,2073903.58,3723980.52,5797884.11,2592379.48,144.00,576.00,0.00,0.00


Average Outdoor Air During Occupancy by Zone - Flow Rates

,,Mechanical Ventilation [ft3/min],Natural Ventilation [ft3/min],Total Ventilation [ft3/min],Infiltration [ft3/min],Total Ventilation and Infiltration [ft3/min],Dynamic Target Ventilation - Voz-dyn [ft3/min],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr]
,LIVING_UNIT1,47.9946,0.0000,47.9946,86.1810,134.1757,59.9933,144.00,576.00,0.00
,Total Facility,47.9946,0.0000,47.9946,86.1810,134.1757,59.9933,144.00,576.00,0.00


Total Outdoor Air by AirLoop

,,Mechanical Ventilation [ft3],Natural Ventilation [ft3/min],Total Ventilation [ft3/min],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [ft3],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr],Time Above Zero When Unoccupied [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,2592379.48,720.00,0.00,0.00,0.00


Average Outdoor Air During Occupancy by AirLoop

,,Mechanical Ventilation [ft3/min],Natural Ventilation [ft3/min],Total Ventilation [ft3/min],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [ft3/min],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,59.9933,720.00,0.00,0.00


Outdoor Air Controller Limiting Factors by AirLoop

,,No Limiting Factor [hr],Limits and Scheduled Limits [hr],Economizer [hr],Exhaust Flow [hr],Mixed Air Flow [hr],High Humidity [hr],Demand Controlled Ventilation [hr],Night Ventilation [hr],Demand Limiting [hr],Energy Management System [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Average Outdoor Air for Limiting Factors During Occupancy

,,No Limiting Factor [ft3/min],Limits and Scheduled Limits [ft3/min],Economizer [ft3/min],Exhaust Flow [ft3/min],Mixed Air Flow [ft3/min],High Humidity [ft3/min],Demand Controlled Ventilation [ft3/min],Night Ventilation [ft3/min],Demand Limiting [ft3/min],Energy Management System [ft3/min]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Object Count Summary
FOR:,Entire Facility
Surfaces by Class

,,Total,Outdoors
,Wall,10,10
,Floor,3,0
,Roof,3,2
,Internal Mass,1,0
,Building Detached Shading,0,0
,Fixed Detached Shading,0,0
,Window,8,8
,Door,1,1
,Glass Door,0,0
,Shading,4,4
,Overhang,2,2
,Fin,0,0
,Tubular Daylighting Device Dome,0,0
,Tubular Daylighting Device Diffuser,0,0


HVAC

,,Count
,HVAC Air Loops,1
,Conditioned Zones,1
,Unconditioned Zones,1
,Supply Plenums,0
,Return Plenums,0


Input Fields

,,Count
,IDF Objects,444
,Defaulted Fields,332
,Fields with Defaults,1743
,Autosized Fields,19
,Autosizable Fields,33
,Autocalculated Fields,18
,Autocalculatable Fields,38


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,Electricity:Building,539.61,0.00,14-FEB-00:10,1679.39,06-FEB-18:10
,Electricity:Zone:LIVING_UNIT1,539.61,0.00,14-FEB-00:10,1679.39,06-FEB-18:10
,Electricity:SpaceType:GENERAL,539.61,0.00,14-FEB-00:10,1679.39,06-FEB-18:10
,InteriorLights:Electricity,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,InteriorLights:Electricity:Zone:LIVING_UNIT1,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,InteriorLights:Electricity:SpaceType:GENERAL,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity:Zone:LIVING_UNIT1,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,General:InteriorLights:Electricity:SpaceType:GENERAL,71.50,0.00,14-FEB-00:10,386.39,01-FEB-19:10
,InteriorEquipment:Electricity,468.12,0.00,14-FEB-00:10,1330.73,06-FEB-18:10
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1,468.12,0.00,14-FEB-00:10,1330.73,06-FEB-18:10
,InteriorEquipment:Electricity:SpaceType:GENERAL,468.12,0.00,14-FEB-00:10,1330.73,06-FEB-18:10
,dishwasher:InteriorEquipment:Electricity,11.16,0.00,14-FEB-00:10,58.93,06-FEB-19:10
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,11.16,0.00,14-FEB-00:10,58.93,06-FEB-19:10
,dishwasher:InteriorEquipment:Electricity:SpaceType:GENERAL,11.16,0.00,14-FEB-00:10,58.93,06-FEB-19:10
,refrigerator:InteriorEquipment:Electricity,40.30,0.00,14-FEB-00:10,91.06,01-FEB-18:10
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,40.30,0.00,14-FEB-00:10,91.06,01-FEB-18:10
,refrigerator:InteriorEquipment:Electricity:SpaceType:GENERAL,40.30,0.00,14-FEB-00:10,91.06,01-FEB-18:10
,clotheswasher:InteriorEquipment:Electricity,5.72,0.00,14-FEB-00:10,25.55,06-FEB-09:10
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,5.72,0.00,14-FEB-00:10,25.55,06-FEB-09:10
,clotheswasher:InteriorEquipment:Electricity:SpaceType:GENERAL,5.72,0.00,14-FEB-00:10,25.55,06-FEB-09:10
,electric_dryer:InteriorEquipment:Electricity,50.55,0.00,14-FEB-00:10,213.06,06-FEB-11:10
,electric_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,50.55,0.00,14-FEB-00:10,213.06,06-FEB-11:10
,electric_dryer:InteriorEquipment:Electricity:SpaceType:GENERAL,50.55,0.00,14-FEB-00:10,213.06,06-FEB-11:10
,electric_range:InteriorEquipment:Electricity,36.41,0.00,14-FEB-00:10,248.15,01-FEB-17:10
,electric_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,36.41,0.00,14-FEB-00:10,248.15,01-FEB-17:10
,electric_range:InteriorEquipment:Electricity:SpaceType:GENERAL,36.41,0.00,14-FEB-00:10,248.15,01-FEB-17:10
,television:InteriorEquipment:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,television:InteriorEquipment:Electricity:SpaceType:GENERAL,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,electric_mels:InteriorEquipment:Electricity,202.40,0.00,14-FEB-00:10,567.46,01-FEB-20:10
,electric_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,202.40,0.00,14-FEB-00:10,567.46,01-FEB-20:10
,electric_mels:InteriorEquipment:Electricity:SpaceType:GENERAL,202.40,0.00,14-FEB-00:10,567.46,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity,121.57,0.00,14-FEB-00:10,340.85,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,121.57,0.00,14-FEB-00:10,340.85,01-FEB-20:10
,IECC_adj:InteriorEquipment:Electricity:SpaceType:GENERAL,121.57,0.00,14-FEB-00:10,340.85,01-FEB-20:10
